variant,lambda,spearman_rho_cvrmse,spearman_rho_pattern_score
-20%,-0.053776576,0.9999584390113536,0.9974387890382861
-10%,-0.060498648,0.9999856377849362,0.9989928475278588
baseline,-0.06722072,1.0,1.0
+10%,-0.07394279200000001,0.9999842173460837,0.9979439095223296
+20%,-0.08066486399999999,0.9999608590182875,0.9855477768521709
